fecha,hora,vuelo,origen,estado
2025-11-11,00:05,FIN5609,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,00:05,JAL9407,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,00:05,AVA6096,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,00:05,RAM5441,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,00:05,LAN1749,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,00:05,QTR6884,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,00:20,VLG8350,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-11,00:20,IBE5681,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-11,00:20,QTR3675,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-11,00:25,RYR5540,TANGER (TNG),No informado
2025-11-11,00:30,RYR2271,SANTIAGO-ROSALÍA DE CASTRO (SCQ),No informado
2025-11-11,08:05,AEA4063,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,08:05,ETD7519,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,08:05,AMX6982,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,08:05,AEA4063,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,08:05,ETD7519,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,08:05,AMX6982,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,08:15,IBE2382,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-11,08:15,VLG5782,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-11,08:15,VLG5782,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-11,08:15,IBE2382,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-11,08:55,VLG8151,PARIS /ORLY (ORY),No informado
2025-11-11,08:55,IBE5783,PARIS /ORLY (ORY),No informado
2025-11-11,08:55,VLG8151,PARIS /ORLY (ORY),No informado
2025-11-11,08:55,IBE5783,PARIS /ORLY (ORY),No informado
2025-11-11,09:05,IBE1079,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,09:05,AVA6068,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,09:05,AAL8715,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,09:05,VLG5580,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,09:05,QTR6923,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,09:05,WZZ1337,VARSOVIA (WAW),No informado
