id,name,iata,icao,callsign,country,active
1682,Cayman Airways,KX,CAY,CAYMAN,Cayman Islands,true
1683,Cebu Pacific,5J,CEB,CEBU AIR,Philippines,true
1684,Cecil Aviation,,CIL,CECIL,United Kingdom,false
1685,Cega Aviation,,CEG,CEGA,United Kingdom,false
1686,Celtic Airways,,CEC,CELTAIR,United Kingdom,false
1687,Celtic West,,CWE,CELTIC,United Kingdom,false
1689,Cente D'Essais En Vol,,CEV,CENTEV,France,false
1690,Centennial Airlines,,CNL,WYO-AIR,United States,false
1691,Centennial Flight Centre,,CNS,CENTENNIAL,Canada,false
1692,Center Vol,,CVO,CENTERVOL,Spain,false
1693,Center-South,,CTS,CENTER-SOUTH,Russia,false
1694,Centrafrican Airlines,,CET,CENTRAFRICAIN,Central African Republic,false
1696,Central Airlines,,CTL,CENTRAL COMMUTER,United States,false
1697,Central Airways,,CNY,CENTRAL LEONE,Sierra Leone,false
1698,Central American Airlines,,ACN,AEROCENTRO,Nicaragua,false
1699,Central Aviation,,YOG,YOGAN AIR,United States,false
1700,Central Connect Airlines,,CCG,,Czech Republic,true
1701,Central De Discos De Reynosa,,DRN,DISCOS REYNOSA,Mexico,false
1702,Central European Airlines,,CMA,EUROCENTRAL,Czech Republic,false
1703,Central Flying Service,,CHA,CHARTER CENTRAL,United States,false
1704,Central Mongolia Airways,,CEM,CENTRAL MONGOLIA,Mongolia,false
1705,Central Mountain Air,,GLR,GLACIER,Canada,false
1706,Central Queensland Aviation College,,CQC,,Australia,false
1707,Central Skyport,,CSI,SKYPORT,United States,false
1709,Centre Airlines,,DTV,DUTCH VALLEY,United States,false
1710,Centre of Applied Geodynamica,,CGS,GEO CENTRE,Russia,false
1712,Centro De Helicopteros Corporativos,,CCV,HELICORPORATIVO,Mexico,false
1713,Centro de Formacion Aeronautica de Canarias,,ACF,FORCAN,Spain,false
1715,Century Aviation,,URY,CENTURY AVIA,Mexico,false
1716,Century Aviation International,,HAI,,Canada,false
1717,Certified Air Dispatch,,XAD,,United States,false
