"Compañía";"Año";"Mes";"País";"Operaciones Totales";"Pasajeros Totales";"PAX_medio";"icao_aerolinea"
"AEGEAN AIRLINES";"2024";"Octubre    de 2024";"GRECIA";"5,000";"809,000";"161,8000000000000114";"AEE"
"AEGEAN AIRLINES";"2022";"Junio      de 2022";"GRECIA";"5,000";"652,000";"130,4000000000000057";"AEE"
"AEGEAN AIRLINES";"2023";"Septiembre de 2023";"GRECIA";"8,000";"1,270";"0,1587500000000000";"AEE"
"AEGEAN AIRLINES";"2024";"Mayo       de 2024";"GRECIA";"7,000";"958,000";"136,8571428571428612";"AEE"
"AEGEAN AIRLINES";"2023";"Julio      de 2023";"GRECIA";"9,000";"1,318";"0,1464444444444445";"AEE"
"AEGEAN AIRLINES";"2023";"Octubre    de 2023";"GRECIA";"8,000";"1,173";"0,1466250000000000";"AEE"
"AEGEAN AIRLINES";"2025";"Septiembre de 2025";"GRECIA";"10,000";"1,623";"0,1623000000000000";"AEE"
"AEGEAN AIRLINES";"2023";"Agosto     de 2023";"GRECIA";"9,000";"1,410";"0,1566666666666666";"AEE"
"AEGEAN AIRLINES";"2025";"Junio      de 2025";"GRECIA";"10,000";"1,445";"0,1445000000000000";"AEE"
"AEGEAN AIRLINES";"2025";"Julio      de 2025";"GRECIA";"13,000";"1,796";"0,1381538461538462";"AEE"
"AEGEAN AIRLINES";"2025";"Abril      de 2025";"GRECIA";"5,000";"691,000";"138,1999999999999886";"AEE"
"AEGEAN AIRLINES";"2022";"Septiembre de 2022";"GRECIA";"6,000";"914,000";"152,3333333333333428";"AEE"
"AEGEAN AIRLINES";"2023";"Junio      de 2023";"GRECIA";"5,000";"736,000";"147,1999999999999886";"AEE"
"AEGEAN AIRLINES";"2025";"Octubre    de 2025";"GRECIA";"4,000";"621,000";"155,2500000000000000";"AEE"
"AEGEAN AIRLINES";"2024";"Julio      de 2024";"GRECIA";"9,000";"1,413";"0,1570000000000000";"AEE"
"AEGEAN AIRLINES";"2024";"Junio      de 2024";"GRECIA";"9,000";"1,339";"0,1487777777777778";"AEE"
"AEGEAN AIRLINES";"2025";"Mayo       de 2025";"GRECIA";"8,000";"1,142";"0,1427500000000000";"AEE"
"AEGEAN AIRLINES";"2022";"Julio      de 2022";"GRECIA";"9,000";"1,153";"0,1281111111111111";"AEE"
"AEGEAN AIRLINES";"2024";"Agosto     de 2024";"GRECIA";"8,000";"1,304";"0,1630000000000000";"AEE"
"AEGEAN AIRLINES";"2025";"Agosto     de 2025";"GRECIA";"13,000";"2,099";"0,1614615384615385";"AEE"
"AEGEAN AIRLINES";"2024";"Septiembre de 2024";"GRECIA";"9,000";"1,500";"0,1666666666666667";"AEE"
"AEGEAN AIRLINES";"2022";"Agosto     de 2022";"GRECIA";"9,000";"1,364";"0,1515555555555556";"AEE"
