"icao_aerolinea";"iata";"fecha";"hora";"vuelo";"origen";"estado";"franja_horaria";"numero_vuelo";"id";"name";"city";"country";"icao_aeropuerto";"latitude";"longitude";"altitude";"timezone";"tz";"name_aerolinea";"country_aerolinea"
"IBE";"BCN";"2025-11-10";"20:00";"IBE2376";"BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN)";"No informado";"Noche";"2376";"1218";"Barcelona International Airport";"Barcelona";"Spain";"LEBL";"41.2971";"2.07846";"12";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"MAD";"2025-11-10";"09:05";"IBE1079";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"Mañana";"1079";"1229";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"PMI";"2025-11-10";"21:05";"IBE2400";"PALMA DE MALLORCA (PMI)";"No informado";"Noche";"2400";"3998";"Palma De Mallorca Airport";"Palma de Mallorca";"Spain";"LEPA";"39.551700592";"2.73881006241";"27";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"MAD";"2025-11-10";"00:05";"IBE1083";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"Madrugada";"1083";"1229";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"PMI";"2025-11-14";"20:45";"IBE2400";"PALMA DE MALLORCA (PMI)";"No informado";"Noche";"2400";"3998";"Palma De Mallorca Airport";"Palma de Mallorca";"Spain";"LEPA";"39.551700592";"2.73881006241";"27";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"IBZ";"2025-11-09";"23:25";"IBE2431";"IBIZA (IBZ)";"No informado";"Noche";"2431";"1225";"Ibiza Airport";"Ibiza";"Spain";"LEIB";"38.872898101800004";"1.3731199502899998";"24";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"PMI";"2025-11-12";"20:30";"IBE5548";"PALMA DE MALLORCA (PMI)";"No informado";"Noche";"5548";"3998";"Palma De Mallorca Airport";"Palma de Mallorca";"Spain";"LEPA";"39.551700592";"2.73881006241";"27";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"TFN";"2025-11-14";"12:45";"IBE5405";"TENERIFE NORTE-C. LA LAGUNA (TFN)";"No informado";"Tarde";"5405";"1057";"Tenerife Norte Airport";"Tenerife";"Spain";"GCXO";"28.4827003479";"-16.3414993286";"2076";"0";"Atlantic/Canary";"Iberia Airlines";"Spain"
"IBE";"BIO";"2025-11-10";"13:45";"IBE2313";"BILBAO (BIO)";"No informado";"Tarde";"2313";"1216";"Bilbao Airport";"Bilbao";"Spain";"LEBB";"43.30110168457031";"-2.9106099605560303";"138";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"IBZ";"2025-11-10";"23:40";"IBE2431";"IBIZA (IBZ)";"No informado";"Noche";"2431";"1225";"Ibiza Airport";"Ibiza";"Spain";"LEIB";"38.872898101800004";"1.3731199502899998";"24";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"IBZ";"2025-11-11";"11:00";"IBE2433";"IBIZA (IBZ)";"No informado";"Mañana";"2433";"1225";"Ibiza Airport";"Ibiza";"Spain";"LEIB";"38.872898101800004";"1.3731199502899998";"24";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"PMI";"2025-11-13";"15:30";"IBE5548";"PALMA DE MALLORCA (PMI)";"No informado";"Tarde";"5548";"3998";"Palma De Mallorca Airport";"Palma de Mallorca";"Spain";"LEPA";"39.551700592";"2.73881006241";"27";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"BCN";"2025-11-09";"22:00";"IBE2376";"BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN)";"No informado";"Noche";"2376";"1218";"Barcelona International Airport";"Barcelona";"Spain";"LEBL";"41.2971";"2.07846";"12";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"LPA";"2025-11-14";"19:35";"IBE5247";"GRAN CANARIA (LPA)";"No informado";"Noche";"5247";"1054";"Gran Canaria Airport";"Gran Canaria";"Spain";"GCLP";"27.931900024414062";"-15.38659954071045";"78";"0";"Atlantic/Canary";"Iberia Airlines";"Spain"
"IBE";"SVQ";"2025-11-10";"15:45";"IBE2395";"SEVILLA (SVQ)";"No informado";"Tarde";"2395";"1253";"Sevilla Airport";"Sevilla";"Spain";"LEZL";"37.417999267578125";"-5.8931097984313965";"112";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"AGP";"2025-11-10";"08:15";"IBE2382";"MALAGA-COSTA DEL SOL (AGP)";"No informado";"Mañana";"2382";"1230";"Málaga Airport";"Malaga";"Spain";"LEMG";"36.67490005493164";"-4.499110221862793";"53";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"TFN";"2025-11-12";"19:25";"IBE5405";"TENERIFE NORTE-C. LA LAGUNA (TFN)";"No informado";"Noche";"5405";"1057";"Tenerife Norte Airport";"Tenerife";"Spain";"GCXO";"28.4827003479";"-16.3414993286";"2076";"0";"Atlantic/Canary";"Iberia Airlines";"Spain"
"IBE";"PMI";"2025-11-11";"15:50";"IBE5548";"PALMA DE MALLORCA (PMI)";"No informado";"Tarde";"5548";"3998";"Palma De Mallorca Airport";"Palma de Mallorca";"Spain";"LEPA";"39.551700592";"2.73881006241";"27";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"PMI";"2025-11-12";"18:30";"IBE2406";"PALMA DE MALLORCA (PMI)";"No informado";"Noche";"2406";"3998";"Palma De Mallorca Airport";"Palma de Mallorca";"Spain";"LEPA";"39.551700592";"2.73881006241";"27";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
"IBE";"BIO";"2025-11-14";"16:45";"IBE2311";"BILBAO (BIO)";"No informado";"Tarde";"2311";"1216";"Bilbao Airport";"Bilbao";"Spain";"LEBB";"43.30110168457031";"-2.9106099605560303";"138";"1";"Europe/Madrid";"Iberia Airlines";"Spain"
